,License #,is_ADU_builder,ADU_performance_score,Bldg-New_count,Bldg-Alter/Repair_count,Bldg-Addition_count,2020_proj_count,2019_proj_count,2018_proj_count,2017_proj_count,2016_proj_count,2015_proj_count,2014_proj_count,2013_proj_count,experience,non_ADU_proj_count,non_ADU_avg_insp,non_ADU_avg_time_per_insp
310,1005309.0,True,15.500000000000002,0.0,1.0,6.0,0.0,0.0,1.0,1.0,1.0,4.0,0.0,0.0,628,6,6.5,52.09166666666667
311,663409.0,True,4.666666666666667,0.0,26.0,2.0,2.0,7.0,4.0,4.0,1.0,4.0,1.0,5.0,1288,27,4.666666666666667,33.898589065255734
314,424795.0,True,42.92307692307692,2.0,5.0,9.0,0.0,0.0,1.0,4.0,1.0,4.0,3.0,3.0,1461,15,11.466666666666667,31.142698773448775
315,966738.0,True,14.054356514788171,8.0,10.0,16.0,0.0,8.0,7.0,7.0,6.0,5.0,1.0,0.0,2032,32,13.34375,15.716903148047251
318,1007078.0,True,25.500000000000004,0.0,3.0,2.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,2469,4,7.0,33.48079004329004
323,1035143.0,True,3.5,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1293,2,4.0,15.375
329,1043668.0,True,8.7,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,656,1,7.0,10.0
331,994709.0,True,25.391304347826086,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1909,1,12.0,34.75
334,935108.0,True,8.333333333333334,0.0,16.0,0.0,2.0,6.0,5.0,2.0,1.0,0.0,0.0,0.0,2612,15,5.533333333333333,22.332777777777782
337,1039164.0,True,13.75,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,232,2,4.0,15.875
344,932094.0,True,22.471571342144454,0.0,60.0,4.0,1.0,2.0,11.0,10.0,6.0,12.0,2.0,20.0,2659,61,6.131147540983607,12.18014571948998
345,1034984.0,True,12.632627974361224,0.0,2.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,209,1,12.0,20.833333333333332
352,930166.0,True,38.303670385030586,1.0,21.0,12.0,0.0,5.0,3.0,6.0,2.0,6.0,6.0,6.0,2513,32,6.84375,41.749914102441686
353,937833.0,True,14.325565908080359,0.0,15.0,7.0,0.0,3.0,5.0,2.0,3.0,4.0,3.0,2.0,2715,18,6.5,48.13769841269842
369,905605.0,True,16.843749999999996,0.0,6.0,4.0,0.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1799,8,8.375,23.853440656565652
371,976267.0,True,19.902532838172974,39.0,15.0,23.0,0.0,2.0,9.0,7.0,11.0,18.0,20.0,10.0,2508,73,11.520547945205479,35.15753680040817
374,939885.0,True,12.0,0.0,36.0,4.0,0.0,6.0,6.0,4.0,6.0,7.0,3.0,8.0,2708,39,6.256410256410256,14.247973322973326
383,1035916.0,True,5.133333333333334,0.0,6.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,588,5,7.6,31.695714285714285
390,827771.0,True,2.9166666666666665,0.0,2.0,2.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,229,3,10.333333333333334,24.643790849673206
395,485114.0,True,8.714285714285714,0.0,10.0,4.0,0.0,1.0,1.0,4.0,3.0,2.0,0.0,3.0,2529,13,7.769230769230769,34.60123626373626
398,735996.0,True,8.75,2.0,16.0,3.0,0.0,1.0,1.0,3.0,2.0,3.0,3.0,8.0,2626,20,6.9,51.01747564935065
408,801178.0,True,22.587279798673073,2.0,3.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,1433,3,10.0,23.607142857142858
421,930380.0,True,9.837784978007589,0.0,11.0,2.0,0.0,5.0,3.0,4.0,1.0,0.0,0.0,0.0,1555,10,7.2,16.061587301587302
426,1019255.0,True,14.288404643273111,0.0,10.0,9.0,0.0,5.0,14.0,0.0,0.0,0.0,0.0,0.0,979,9,11.444444444444445,21.802001085334417
437,1025311.0,True,14.116289989448955,1.0,7.0,1.0,0.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,509,3,10.0,15.445791245791247
440,567115.0,True,23.0,2.0,0.0,5.0,0.0,0.0,2.0,1.0,2.0,2.0,0.0,0.0,663,6,7.833333333333333,34.56111111111111
457,985124.0,True,11.909758190424265,0.0,17.0,3.0,1.0,5.0,3.0,5.0,1.0,4.0,0.0,1.0,2548,18,5.5,23.054232804232807
468,906858.0,True,4.666666666666667,1.0,15.0,1.0,0.0,1.0,6.0,2.0,1.0,6.0,1.0,0.0,2469,16,7.5,14.973261278195487
472,1002927.0,True,24.40288522829764,0.0,39.0,15.0,2.0,14.0,12.0,10.0,11.0,5.0,0.0,0.0,2372,49,8.0,16.77628785613479
477,912485.0,True,26.59090909090909,11.0,2.0,3.0,0.0,0.0,5.0,3.0,4.0,3.0,0.0,1.0,1925,15,17.2,20.284845186346733
478,879490.0,True,7.009464248488639,0.0,9.0,1.0,0.0,1.0,3.0,1.0,1.0,3.0,1.0,0.0,2652,8,6.0,12.862689393939393
480,1029503.0,True,15.53852920516983,0.0,7.0,3.0,0.0,0.0,7.0,3.0,0.0,0.0,0.0,0.0,1920,3,7.333333333333333,54.03703703703704
481,1030945.0,True,17.555403029611405,0.0,10.0,7.0,0.0,6.0,11.0,0.0,0.0,0.0,0.0,0.0,1197,12,7.416666666666667,34.06771133958633
482,914162.0,True,21.875,9.0,5.0,14.0,0.0,0.0,1.0,5.0,5.0,3.0,4.0,10.0,2539,27,13.222222222222221,41.99434618589503
488,1023982.0,True,19.28525538066174,1.0,4.0,1.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,743,3,8.333333333333334,70.6969696969697
491,1022183.0,True,9.021395203986296,6.0,9.0,6.0,0.0,9.0,9.0,3.0,0.0,0.0,0.0,0.0,1083,19,7.421052631578948,22.159861191440136
500,810077.0,True,25.697178858641898,3.0,8.0,12.0,0.0,2.0,2.0,2.0,3.0,7.0,1.0,6.0,2533,21,8.142857142857142,66.52051810623239
502,983179.0,True,8.222225455956538,3.0,23.0,5.0,1.0,10.0,5.0,5.0,1.0,5.0,2.0,2.0,2193,28,6.678571428571429,24.016964285714288
506,688492.0,True,14.84,1.0,12.0,6.0,0.0,0.0,7.0,1.0,2.0,4.0,1.0,4.0,2665,18,8.777777777777779,20.828922158088826
509,1033506.0,True,3.8,0.0,4.0,1.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1940,4,8.75,8.6375
512,900983.0,True,26.103066841415465,0.0,4.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,1184,4,14.0,18.93189775910364
513,1023088.0,True,16.08516504641072,0.0,13.0,1.0,1.0,10.0,2.0,1.0,0.0,0.0,0.0,0.0,1532,12,5.5,7.884821428571429
